animal_code	sample_code	ena_id	omics
CA01.10	CA01.10F1a	ERR4303216	MetaGenomics
CA02.14	CA02.14F1a	ERR4304669	MetaGenomics
CA03.14	CA03.14F1a	ERR4304452	MetaGenomics
CA06.05	CA06.05F1a	ERR4303199	MetaGenomics
CA06.13	CA06.13F1a	ERR4304808	MetaGenomics
CA06.15	CA06.15F1a	ERR4303149	MetaGenomics
CA08.08	CA08.08F1a	ERR4303170	MetaGenomics
CA08.16	CA08.16F1a	ERR4303147	MetaGenomics
CA10.12	CA10.12F1a	ERR4304455	MetaGenomics
CA13.03	CA13.03F1a	ERR4303150	MetaGenomics
CA17.02	CA17.02F1a	ERR4303157	MetaGenomics
CA17.14	CA17.14F1a	ERR4303161	MetaGenomics
CA19.13	CA19.13F1a	ERR4303155	MetaGenomics
CA19.18	CA19.18F1a	ERR4303151	MetaGenomics
CA20.10	CA20.10F1a	ERR4303222	MetaGenomics
CA21.09	CA21.09F1a	ERR4304397	MetaGenomics
CA22.12	CA22.12F1a	ERR4303194	MetaGenomics
CA23.10	CA23.10F1a	ERR4303200	MetaGenomics
CA24.01	CA24.01F1a	ERR4303201	MetaGenomics
CB01.05	CB01.05F1a	ERR4303160	MetaGenomics
CB01.15	CB01.15F1a	ERR4303162	MetaGenomics
CB02.03	CB02.03F1a	ERR4303171	MetaGenomics
CB02.18	CB02.18F1a	ERR4303148	MetaGenomics
CB05.02	CB05.02F1a	ERR4303163	MetaGenomics
CB07.06	CB07.06F1a	ERR4304451	MetaGenomics
CB07.09	CB07.09F1a	ERR4303219	MetaGenomics
CB08.08	CB08.08F1a	ERR4303218	MetaGenomics
CB10.16	CB10.16F1a	ERR4303197	MetaGenomics
CB13.05	CB13.05F1a	ERR4304450	MetaGenomics
CB15.01	CB15.01F1a	ERR4303140	MetaGenomics
CB15.17	CB15.17F1a	ERR4301269	MetaGenomics
CB19.09	CB19.09F1a	ERR4304504	MetaGenomics
CB20.03	CB20.03F1a	ERR4303195	MetaGenomics
CB22.10	CB22.10F1a	ERR4303152	MetaGenomics
CB23.18	CB23.18F1a	ERR4303202	MetaGenomics
CA01.03	CA01.03F1a	ERR4835843	MetaGenomics
CA01.09	CA01.09F1a	ERR4835847	MetaGenomics
CA01.15	CA01.15F1a	ERR4835842	MetaGenomics
CA02.15	CA02.15F1a	ERR4835846	MetaGenomics
CA04.01	CA04.01F1a	ERR4835851	MetaGenomics
CA04.14	CA04.14F1a	ERR4835859	MetaGenomics
CA04.16	CA04.16F1a	ERR4835932	MetaGenomics
CA05.03	CA05.03F1a	ERR4835935	MetaGenomics
CA06.02	CA06.02F1a	ERR4835856	MetaGenomics
CA07.02	CA07.02F1a	ERR4835850	MetaGenomics
CA07.13	CA07.13F1a	ERR4835852	MetaGenomics
CA09.01	CA09.01F1a	ERR4835849	MetaGenomics
CA10.03	CA10.03F1a	ERR4835863	MetaGenomics
CA10.10	CA10.10F1a	ERR4835861	MetaGenomics
CA11.08	CA11.08F1a	ERR4835848	MetaGenomics
CA11.18	CA11.18F1a	ERR4835860	MetaGenomics
CA13.06	CA13.06F1a	ERR4835933	MetaGenomics
CA14.02	CA14.02F1a	ERR4835869	MetaGenomics
CA14.09	CA14.09F1a	ERR4835857	MetaGenomics
CA15.01	CA15.01F1a	ERR4835989	MetaGenomics
CA16.09	CA16.09F1a	ERR4835866	MetaGenomics
CA17.03	CA17.03F1a	ERR4835854	MetaGenomics
CA17.12	CA17.12F1a	ERR4835858	MetaGenomics
CA18.08	CA18.08F1a	ERR4835853	MetaGenomics
