mag_name	mag_id	ena_acession	mag_ena_code
ERR4301269bin.7	cmag_001	ERZ12818204	GCA_946492575
ERR4303136bin.34	cmag_002	ERZ12818207	GCA_946494525
ERR4303137bin.12	cmag_003	ERZ12818195	GCA_946485935
ERR4303137bin.30	cmag_004	ERZ12818463	GCA_946493855
ERR4303137bin.34	cmag_005	ERZ12818243	GCA_946487785
ERR4303137bin.35	cmag_006	ERZ12818534	GCA_946490765
ERR4303138bin.28	cmag_007	ERZ12818468	GCA_946486945
ERR4303138bin.37	cmag_008	ERZ12818559	GCA_946493005
ERR4303139bin.27	cmag_009	ERZ12818406	GCA_946488485
ERR4303140bin.1	cmag_010	ERZ12818331	GCA_946493505
ERR4303147bin.12	cmag_011	ERZ12818566	GCA_946493535
ERR4303147bin.39	cmag_012	ERZ12818563	GCA_946493125
ERR4303147bin.44	cmag_013	ERZ12818273	GCA_946491805
ERR4303147bin.48	cmag_014	ERZ12818434	GCA_946490445
ERR4303147bin.52	cmag_015	ERZ12818409	GCA_946488505
ERR4303147bin.54	cmag_016	ERZ12818469	GCA_946492145
ERR4303148bin.1	cmag_017	ERZ12818261	GCA_946490665
ERR4303148bin.29	cmag_018	ERZ12818430	GCA_946488425
ERR4303149bin.21	cmag_019	ERZ12818283	GCA_946493825
ERR4303149bin.27	cmag_020	ERZ12818385	GCA_946493185
ERR4303149bin.29	cmag_021	ERZ12818314	GCA_946488175
ERR4303149bin.36	cmag_022	ERZ12818523	GCA_946486045
ERR4303150bin.25	cmag_023	ERZ12818521	GCA_946490815
ERR4303150bin.41	cmag_024	ERZ12818360	GCA_946486275
ERR4303150bin.6	cmag_025	ERZ12818256	GCA_946494605
ERR4303150bin.7	cmag_026	ERZ12818309	GCA_946493485
ERR4303151bin.10	cmag_027	ERZ12818262	GCA_946494425
ERR4303151bin.35	cmag_028	ERZ12818316	GCA_946488445
ERR4303151bin.51	cmag_029	ERZ12818555	GCA_946493755
ERR4303151bin.6	cmag_030	ERZ12818554	GCA_946492885
ERR4303152bin.33	cmag_031	ERZ12818211	GCA_946493885
ERR4303152bin.5	cmag_032	ERZ12818531	GCA_946486135
ERR4303152bin.6	cmag_033	ERZ12818236	GCA_946492565
ERR4303154bin.23	cmag_034	ERZ12818408	GCA_946491785
ERR4303154bin.29	cmag_035	ERZ12818237	GCA_946491795
ERR4303154bin.32	cmag_036	ERZ12818318	GCA_946492115
ERR4303154bin.33	cmag_037	ERZ12818490	GCA_946492185
ERR4303154bin.37	cmag_038	ERZ12818290	GCA_946488145
ERR4303154bin.7	cmag_039	ERZ12818276	GCA_946494495
ERR4303155bin.13	cmag_040	ERZ12818326	GCA_946484175
ERR4303155bin.51	cmag_041	ERZ12818302	GCA_946488005
ERR4303155bin.7	cmag_042	ERZ12818380	GCA_946491685
ERR4303155bin.77	cmag_043	ERZ12818467	GCA_946490825
ERR4303156bin.11	cmag_044	ERZ12818320	GCA_946493515
ERR4303156bin.12	cmag_045	ERZ12818239	GCA_946494515
ERR4303156bin.23	cmag_046	ERZ12818564	GCA_946485505
ERR4303156bin.5	cmag_047	ERZ12818304	GCA_946487775
ERR4303157bin.17	cmag_048	ERZ12818465	GCA_946491875
ERR4303157bin.8	cmag_049	ERZ12818197	GCA_946487955
ERR4303158bin.17	cmag_050	ERZ12818200	GCA_946486155
ERR4303158bin.24	cmag_051	ERZ12818330	GCA_946488815
ERR4303158bin.27	cmag_052	ERZ12818510	GCA_946492915
ERR4303158bin.38	cmag_053	ERZ12818411	GCA_946491775
ERR4303158bin.59	cmag_054	ERZ12818294	GCA_946488115
ERR4303158bin.61	cmag_055	ERZ12818551	GCA_946493845
ERR4303159bin.34	cmag_056	ERZ12818517	GCA_946486585
ERR4303161bin.16	cmag_057	ERZ12818323	GCA_946490605
