animal_code	trial	pen	treatment	breed	sex	age	sampling_time	chicken_body_weight
CA01.01	CA	CA01	control	Cobb	Male	7	7	146
CA01.03	CA	CA01	control	Cobb	Male	7	7	176
CA01.06	CA	CA01	control	Cobb	Male	8	7	239.4
CA01.07	CA	CA01	control	Cobb	Male	21	21	920.8
CA01.09	CA	CA01	control	Cobb	Male	21	21	995.4
CA01.10	CA	CA01	control	Cobb	Male	22	21	1095.2
CA01.11	CA	CA01	control	Cobb	Male	22	21	1100
CA01.15	CA	CA01	control	Cobb	Male	36	35	2519.8
CA01.16	CA	CA01	control	Cobb	Male	36	35	2350.4
CA01.18	CA	CA01	control	Cobb	Male	37	35	2844.8
CA02.01	CA	CA02	probiotic	Ross	Female	7	7	136
CA02.04	CA	CA02	probiotic	Ross	Female	8	7	239.6
CA02.08	CA	CA02	probiotic	Ross	Female	21	21	695.2
CA02.11	CA	CA02	probiotic	Ross	Female	22	21	883.2
CA02.12	CA	CA02	probiotic	Ross	Female	22	21	998.2
CA02.14	CA	CA02	probiotic	Ross	Female	35	35	2221.8
CA02.15	CA	CA02	probiotic	Ross	Female	36	35	2366.8
CA02.17	CA	CA02	probiotic	Ross	Female	37	35	2009.2
CA02.18	CA	CA02	probiotic	Ross	Female	37	35	2431.6
CA03.01	CA	CA03	probiotic	Cobb	Female	7	7	166.8
CA03.03	CA	CA03	probiotic	Cobb	Female	7	7	157.4
CA03.04	CA	CA03	probiotic	Cobb	Female	8	7	243.8
CA03.07	CA	CA03	probiotic	Cobb	Female	21	21	920.2
CA03.10	CA	CA03	probiotic	Cobb	Female	22	21	1082
CA03.14	CA	CA03	probiotic	Cobb	Female	35	35	2164
CA03.16	CA	CA03	probiotic	Cobb	Female	36	35	2517.2
CA03.17	CA	CA03	probiotic	Cobb	Female	37	35	1949.8
CA04.01	CA	CA04	control	Cobb	Female	7	7	170.8
CA04.03	CA	CA04	control	Cobb	Female	7	7	163.4
CA04.04	CA	CA04	control	Cobb	Female	8	7	219.4
CA04.09	CA	CA04	control	Cobb	Female	21	21	823.2
CA04.10	CA	CA04	control	Cobb	Female	22	21	1101.4
CA04.12	CA	CA04	control	Cobb	Female	22	21	908.8
CA04.13	CA	CA04	control	Cobb	Female	35	35	2018.8
CA04.14	CA	CA04	control	Cobb	Female	35	35	2494.8
CA04.16	CA	CA04	control	Cobb	Female	36	35	2191.6
CA05.03	CA	CA05	phytobiotic	Ross	Female	7	7	156.8
CA05.05	CA	CA05	phytobiotic	Ross	Female	8	7	177.8
CA05.06	CA	CA05	phytobiotic	Ross	Female	8	7	213.6
CA05.08	CA	CA05	phytobiotic	Ross	Female	21	21	683.6
CA05.12	CA	CA05	phytobiotic	Ross	Female	22	21	898.4
CA05.17	CA	CA05	phytobiotic	Ross	Female	37	35	2275.4
CA05.18	CA	CA05	phytobiotic	Ross	Female	37	35	1910.2
CA06.01	CA	CA06	probiotic	Cobb	Male	7	7	160.4
CA06.02	CA	CA06	probiotic	Cobb	Male	7	7	167
CA06.05	CA	CA06	probiotic	Cobb	Male	8	7	219.8
CA06.07	CA	CA06	probiotic	Cobb	Male	21	21	928.4
CA06.09	CA	CA06	probiotic	Cobb	Male	21	21	742.6
CA06.11	CA	CA06	probiotic	Cobb	Male	22	21	1154.4
CA06.13	CA	CA06	probiotic	Cobb	Male	35	35	2293
CA06.15	CA	CA06	probiotic	Cobb	Male	36	35	2432
CA06.17	CA	CA06	probiotic	Cobb	Male	37	35	2592.2
CA06.18	CA	CA06	probiotic	Cobb	Male	37	35	2112
CA07.02	CA	CA07	phytobiotic	Cobb	Male	7	7	168.2
CA07.04	CA	CA07	phytobiotic	Cobb	Male	8	7	236.6
CA07.07	CA	CA07	phytobiotic	Cobb	Male	21	21	966.2
CA07.09	CA	CA07	phytobiotic	Cobb	Male	21	21	971
CA07.11	CA	CA07	phytobiotic	Cobb	Male	22	21	1185.4
