mag_id	CA01.01	CA01.03	CA01.06	CA01.07	CA01.09	CA01.10	CA01.11	CA01.15	CA01.16	CA01.18	CA02.01	CA02.04	CA02.08	CA02.11	CA02.12	CA02.14	CA02.15	CA02.17	CA02.18	CA03.01	CA03.03	CA03.04	CA03.07	CA03.10	CA03.14	CA03.16	CA03.17	CA04.01	CA04.03	CA04.04	CA04.09	CA04.10	CA04.12	CA04.13	CA04.14	CA04.16	CA05.03	CA05.05	CA05.06	CA05.08	CA05.12	CA05.17	CA05.18	CA06.01	CA06.02	CA06.05	CA06.07	CA06.09	CA06.11	CA06.13	CA06.15	CA06.17	CA06.18	CA07.02	CA07.04	CA07.07	CA07.09	CA07.11	CA07.13	CA07.14	CA08.01	CA08.03	CA08.06	CA08.08	CA08.09	CA08.12	CA08.13	CA08.16	CA08.18	CA09.01	CA09.05	CA09.06	CA09.07	CA09.08	CA09.12	CA09.13	CA09.18	CA10.03	CA10.06	CA10.10	CA10.11	CA10.12	CA10.14	CA10.15	CA10.16	CA11.01	CA11.02	CA11.06	CA11.07	CA11.08	CA11.12	CA11.14	CA11.16	CA11.17	CA11.18	CA12.01	CA12.03	CA12.05	CA12.09	CA12.11	CA12.13	CA12.15	CA13.01	CA13.03	CA13.04	CA13.06	CA13.07	CA13.08	CA13.13	CA13.16	CA14.02	CA14.03	CA14.05	CA14.06	CA14.07	CA14.09	CA14.11	CA14.13	CA14.15	CA14.17	CA15.01	CA15.03	CA15.06	CA15.12	CA15.13	CA15.17	CA16.02	CA16.04	CA16.05	CA16.07	CA16.09	CA16.12	CA16.13	CA16.18	CA17.02	CA17.03	CA17.07	CA17.12	CA17.14	CA17.15	CA18.01	CA18.04	CA18.06	CA18.08	CA18.09	CA18.11	CA18.13	CA18.15	CA18.16	CA19.01	CA19.02	CA19.06	CA19.10	CA19.11	CA19.13	CA19.14	CA19.15	CA19.17	CA19.18	CA20.01	CA20.05	CA20.08	CA20.09	CA20.10	CA20.12	CA20.13	CA20.14	CA20.16	CA21.01	CA21.02	CA21.03	CA21.05	CA21.09	CA21.10	CA21.11	CA21.12	CA21.14	CA21.15	CA21.17	CA22.01	CA22.05	CA22.09	CA22.11	CA22.12	CA22.15	CA22.16	CA22.18	CA23.01	CA23.04	CA23.08	CA23.10	CA23.11	CA23.14	CA23.15	CA23.16	CA24.01	CA24.02	CA24.05	CA24.09	CA24.10	CA24.12	CA24.13	CA24.16	CA24.17	CB01.05	CB01.09	CB01.11	CB01.15	CB01.17	CB01.18	CB02.03	CB02.09	CB02.12	CB02.14	CB02.15	CB02.18	CB03.02	CB03.03	CB03.05	CB03.08	CB03.11	CB03.12	CB03.13	CB03.14	CB03.16	CB03.17	CB04.03	CB04.06	CB04.07	CB04.08	CB04.09	CB04.15	CB04.17	CB04.18	CB05.01	CB05.02	CB05.03	CB05.06	CB05.09	CB05.14	CB05.15	CB05.17	CB06.02	CB06.06	CB06.07	CB06.13	CB06.16	CB06.17	CB07.01	CB07.04	CB07.06	CB07.07	CB07.09	CB07.10	CB07.12	CB07.14	CB07.16	CB07.18	CB08.02	CB08.03	CB08.04	CB08.07	CB08.08	CB08.12	CB08.14	CB08.16	CB08.17	CB09.02	CB09.10	CB09.12	CB09.13	CB09.14	CB09.18	CB10.01	CB10.04	CB10.05	CB10.09	CB10.12	CB10.15	CB10.16	CB10.17	CB10.18	CB11.03	CB11.04	CB11.07	CB11.08	CB11.11	CB11.14	CB11.15	CB11.18	CB12.03	CB12.06	CB12.09	CB12.12	CB12.14	CB12.15	CB12.17	CB12.18	CB13.01	CB13.04	CB13.05	CB13.11	CB13.12	CB13.14	CB13.17	CB13.18	CB14.02	CB14.03	CB14.07	CB14.10	CB14.12	CB14.13	CB14.17	CB15.01	CB15.02	CB15.04	CB15.07	CB15.12	CB15.14	CB15.17	CB16.02	CB16.03	CB16.06	CB16.07	CB16.11	CB16.12	CB16.16	CB16.17	CB17.02	CB17.03	CB17.05	CB17.07	CB17.08	CB17.14	CB17.18	CB18.03	CB18.04	CB18.08	CB18.09	CB18.10	CB18.14	CB18.15	CB18.17	CB19.03	CB19.04	CB19.07	CB19.09	CB19.11	CB19.12	CB19.14	CB19.15	CB20.02	CB20.03	CB20.06	CB20.07	CB20.09	CB20.10	CB20.13	CB20.15	CB20.17	CB20.18	CB21.03	CB21.07	CB21.08	CB21.11	CB21.13	CB21.16	CB21.18	CB22.03	CB22.07	CB22.08	CB22.10	CB22.15	CB22.16	CB22.18	CB23.02	CB23.05	CB23.10	CB23.12	CB23.14	CB23.17	CB23.18	CB24.03	CB24.05	CB24.11	CB24.14	CB24.15	CB24.17
cmag_001	7	5	353	945	2	133	5	0	401	1308	3	299	545	275	390	1191	3857	227	1393	2	326	4	683	0	2737	69	0	4918	5231	18	152	2460	2263	619	104	1470811	852	90	175	3392	1541	1589	130	124	547	90	693	1194	325	3	920	10	529	2885	58	6317	13298	40	2185	204	2	202	106	1363	29	85	183	114814	335	4706	252	2	55	643	248	717	62	14556	0	867	1360	4114	220	231	4503	119	0	31	1013	856	656	5752	73839	2069	6203	1153	556	5	71	3312	7	888	205	256	455	14731	218	435	388	135	2385	1733	4699	2637	10	1162	358	213	145	467	5	349	328	787	141	106	2094	677	26	329	1040	17	357	205	4	0	160	2936	145	126	327	80	34	2906	1102	5	60	108	728	11	277	1	423	384	362	396	2345	240	137	584	470	234	11	84342	461	5024	3359	44	4	13	72	32	21702	1024	205	248	3243	1382	747	10	227	1179	41	1198	2157	373	136	0	41	46	378	628	1613	2214	217	21	3002	1074	1506	565	963	152	1971	754	131	727	770	7929	4617	880	580	1875	124	11151	16250	1024	52	131	36	54	12	887	44	1301	2086	275	170	2	31	209	125	28062	4134023	68	58	1369	730	7	441	1385	11946	325	1101	4	20	390	5611	466338	1450	8	60	368	34	108	94	4609	915766	214112	177	0	9	88	27	610	386	309	2520	2493	410	5795	25010	1759659	56128	5731	2	8	3873	121	138979	4840981	1620362	2321643	8	617	0	4	7	202492	1263128	121596	4	2	8890	18	1684417	1065951	51	1438022	0	4082	3563	9	0	30156	3635	307598	1870	3	4	11283	153	25821	225944	1674	138	2262	3	2	346101	165236	257	814	41	159	5	6	130	12561	1842	1	14	2	4	556	1987176	1830	70	0	8	45	1032163	657	19103	29	9	16	2403	9	120	1137332	1020467	12575	1566	4	13	2	0	2661	146	3325	106859	3102	0	279	338	758	508	2276	204	79	19919	5557	2029	5	144	2	112	32	68	12550	552	636	471	455	6	1654	168	381
cmag_002	18897	176116	80836	63669	280489	1025962	186325	47425	86946	215701	18528	544452	103495	105790	113216	43199	51951	62571	145335	344603	413199	395979	525075	33	1254477	183579	37	126190	103506	665166	95933	100204	183732	500723	360615	111830	1001496	303723	134841	455525	187965	227220	201498	41971	119356	1387072	47615	85599	322675	313528	182865	200978	29100	95939	174780	372626	392999	50214	38436	56441	217985	292260	222399	125968	71309	20049	151353	103497	243965	48920	588714	339879	36815	65704	101535	209275	76568	359280	4	109708	84205	368365	129997	45990	853947	84806	158420	18125	174533	30354	99526	170623	208236	131375	41624	824129	466005	860498	59349	176651	182355	292420	152235	1946328	495697	314894	346823	163277	103398	62296	676721	78094	379390	797229	6107	134040	31752	83818	23169	80065	417575	109449	98153	90268	206419	658013	651826	262178	329361	198065	125628	148180	40089	222872	480615	132109	139941	118613	466106	8309	64535	147600	163258	59864	166326	226323	205246	64212	139416	432580	450138	117696	62724	97685	1139445	143273	306382	126427	310032	323968	1595466	17981	418874	522244	498071	68508	273088	54328	311734	240802	329300	11322	321715	282919	230042	62013	9781	335079	36676	41608	359098	30959	11615	234984	266525	191123	223659	861073	192230	148612	375326	197318	29453	164543	60300	1417959	333896	141860	84624	143341	146078	60795	124339	28415	1354626	104964	37611	404771	1162765	114212	106806	313054	404277	212489	41887	172961	69	257519	12604	121486	90475	534292	32654	373683	111956	105779	116596	572100	21860	199820	47704	27237	358551	54426	6984	969972	1427690	231982	314012	233235	454129	153112	117195	508009	748907	69826	933438	98542	1871741	113101	1140947	125821	1216049	163939	7035	171500	157383	125874	1141	346201	60278	153852	461104	275667	45768	24167	205199	2926787	140690	190034	115607	117743	39431	1387574	182453	41598	192635	2107	484435	622892	99691	54420	453060	276638	139055	284549	105960	38548	25636	69263	73695	669612	282333	255902	135525	58920	4	1178287	347587	132826	1377511	240952	73330	110406	191185	182975	1699466	494046	124216	400398	226025	334529	511063	526021	845632	408362	246910	88555	114557	13080	25087	249448	422731	304805	732381	296952	59117	169949	29767	74883	5721	864847	350082	53293	64077	539159	3992	72149	151882	142897	176685	51624	48413	12280	257431	192988	1821433	77902	247025	31253	17867	1987411	1300672	252887	437601	116	105306	479958	197012	147175	230611	807809	166913	235685	47334	99667	81268	324498	323915	6971	338176	347132	425670	1672	177053	156315	336437	129391	145038	913566	88397	157168	16539	384459	128117	60837	146341	124506
cmag_003	3	295	111	1442	469	352	1550	162	26170	1900	39	1388	2053	1933	1443	3353	2255	6829	5228	454	1179	109	1863	0	5618	1483	2	51	1026	284	508	31	1242	2062	4184	1314	135	449	269	9250	789	3509	23025	13	59	23	1101	2988	3785	3257	1247	4837	476	138	168	2910	4715	922	881	13441	39	44	77	1762	930	205	8572	26553	10075	210	603	12	825	385	1260	23758	4523	779	0	2887	111	6135	8603	1424	29365	1823	244	348	3262	189	1837	2470	72698	11916	2899	2012	8	89	977	19486	3921	53882	29	9	18991	1837	905	651	38618	3819	1213	2561	20	3377	100	1550	465	2174	24	2664	554	32	18	1198	605	1605	911	52	980	1219	1262	468	1020	5865	10	366	239	540	1380	1070	567	201	254	594	91	1654	4972	3343	6331	386	1469	860	706	340	21100	5563	172760	21187	796	2270	382	528	512	5357	5599	22711	10495	2266	9	225	656	68	3293	1510	1983	901	1887	12658	3902	5	35	955	99	3630	88633	2553	2877	745	318	138	2350	1552	7085	4696	1422	1624	591	1027	2685	1359	1123	927	2992	465	77	304	347	873	8284	2176	811	1530	5522	4232	963	2193	0	7	0	197	435	1372	983	2222	209604	317	14	481	386	1345	1241	7231	27137	850	2	1115	350	796	557	22997	12552	2411	80	105	1438	719	4714	1002	22	1361	224	389	5499	2802	80	2698	336	1147	1	5	345	231	4044	588	50	974	235	35	319	799	2345	1913	317	215	1	7	666	212	23558	7947	43570	2826	24	39	140	1073	2089	2948	11129	612	3	478	1854	1181	1601	929	0	7024	11	76	5916	960	1052	1713	4246	1644	61	1108	275	9563	1008	10988	2452	39	40	26	336	141	9230	1065	13	51	209	1038	975	1092	563	2717	57	157	4	255	1567	262	2934	611	7	2082	1707	1253	2040	4365	525	2	73	1707	4543	1252	297	352	1081	421	149	59	1662	6	1062	103167	4642	2026	2473	26	1361	1730	1111	3921	1478	995	945	200	1812	479	4964	174	3315	84	164	1605	976	2622	253	7348	4	86	324	4305	1894	1305
cmag_004	4	75	554	1324	1267	47	554	259	4253	10120	13	1500	1694	2474	456	39404	2252	9928	3490	164	1563	264	3402	0	20523	1519	0	154	1724	237	190	115	2096	6013	4613	872	345	48	416	12174	211	6488	3886	11	169	14	868	6092	9116	5461	2574	2313	658	20	44	1069	28026	434	881	3535	22	417	740	68544	2767	679	480934	11423	187722	207	96	35	946	435	385	72467	5699	684	0	1831	258	20039	26665	1795	10896	5053	69	484	864	969	45128	905	78190	19494	13177	177	90	493	765	24285	2996	882193	186	69	46219	368	3936	2269	135267	3498	1157	1889	231	625	147	2474	10438	13594	36	33944	670	89	128	674	404	1503	1066	108	634	653	10032	331	1530	1943	91	120	37	618	3823	10138	147	2081	72	610	308	580	1060	3025	264	655	1214	177	687	244	120259	3710	20252	5610	138	1739	841	1116	330	4379	17143	5819	24156	5159	118	26	1101	58	34457	8065	5937	6169	4872	8107	2304	2	24	1678	46	4427	15523	771	2135	477	608	433	4031	5187	27654	3316	1658	226	96	471	3557	2586	5467	2011	44551	2201	329	720	947	451	15461	3358	2733	1701	906	3485	16363	38548	0	27	0	71	550	1133	2973	1590	962058	833	31	2166	82	1452	3068	2667	14792	4025	4	16552	339	1439	651	39101	25558	5956	147	482	2255	1006	8315	43857	9	771	24	70	2093	3576	33	3198	7556	167858	11	11	154	62	954	172	110	4540	73	89	720	699	1442	44236	139	742	1	58	693	80	398865	6470	19243	88014	357	217	37	1606	2238	17331	42697	283	120	442	2359	798	75141	7388	0	11446	7	1205	1693	1446	696	2830	3698	843	86	26	572	18034	724	20539	5048	38	22	1	601	238	27512	1107	41	25	155	1184	764	756	1304	26695	153	62	12	295	2781	276	1677	1298	19	1915	5181	1142	1309	70551	3128	2	112	206	778	4173	19	655	972	3784	550	299	1616	13	634	87632	4659	5151	3444	99	906	293	2131	76787	22595	2160	804	1929	1669	275	5233	1213	79049	9	192	4980	3959	5441	6003	29963	9	34	826	2309	1739	3963
cmag_005	0	3	291	78	166	1216	26	78	497	523	0	265	342	215	934	100	598	1749	296	8	82	87	1120	0	1756	475	0	16	47	4	0	111	187	1285	586	176	72	0	18	1743	463	1025	1151	1	0	18	259	913	1489	2870	3506	788	362	180	40	108	1876	612	334	656	4	23	359	2690	89	82	766	976	1132	23	1	6	141	225	356	405	460	244	0	379	104	2545	174	280	733	70	10	37	316	142	522	460	1108	741	804	146	87	4	37	728	177	756	4	2	290	42	1642	360	212	311	622	884	191	230	28	365	149	103	82	226	31	91	11	1421	187	2254	69	19	5	68	1233	94	39	1017	2	2	269	264	534	267	210	21	8	565	628	581	142	480	439	5	258	32	170	144	867	820	3489	1145	1040	259	8	285	8126	3586	399	2030	2550	1845	0	170	36	23	3803	331	1360	207	816	849	715	0	6	277	6	694	5079	777	2340	6	43	562	1759	651	1213	2158	337	12	208	116	72	893	356	1452	1152	540	3	99	39	1605	2365	683	15	864	207	682	280	947	0	3	0	9	117	34	44	538	320264	114	4	6	1082	241	45	121	1288	404	0	138	9	38	580	9518	2119	452	35	2	525	488	944	148	12	3	2	27	28	1545	23	1964	320	632	0	4	2	21	2142	163	218	678	151	13	197	562	279	1562	16	24	0	5	781	76	526090	2085	2313	1171	2	4	357	194	163	755	331	87	1	191	258	69	3072	549	0	37680	2	9	12	710	0	522	326	471	17	16	677	2957	514	1119	572	2	7	14	2419	795	748	32	0	5	129	106	4	38	181	279	4	3	0	104	33	125	1402	112	0	440	41	214	298	825	358	0	39	290	34	362	638	298	754	51	141	6	256	0	49	1507	570	1064	997	14	335	401	151	643	623	33	25	57	1347	23	292	18	529	0	43	384	480	332	410	357	0	0	62	646	249	251
cmag_006	2651	6796	4503	6342	17248	85828	8504	1789	25278	26323	1307	39968	7700	10949	9773	20153	7439	8874	5167	13283	13117	19694	15911	4	49965	10797	7	20111	4283	19940	6882	12866	14291	20923	19728	64876	30755	16779	7630	53194	10631	25363	16116	14931	13863	74628	4768	7170	15614	40497	15483	13921	4644	7491	19020	34332	35572	21736	7991	8480	39966	24280	18767	40194	11221	1349	11317	56638	23408	6132	18541	6806	4102	6811	8699	12543	7807	16376	0	32486	8178	81264	14469	10857	38150	6080	9284	12738	12136	3567	16724	17475	74005	17053	23115	39989	12632	15628	4121	15944	8644	47155	20177	32363	39594	36736	20655	11295	6934	8515	21983	17378	32680	53894	1184	8859	5841	11819	1367	195600	16548	9865	16651	5614	9271	33529	47139	16553	36852	6915	12827	11472	5580	16802	43612	11124	16142	12382	27250	8939	9146	10170	5084	11005	13223	11468	6129	7547	10408	28703	14982	5058	57661	9421	464660	16210	39107	9883	25839	25406	30145	10094	26299	45432	56335	37728	30880	11034	10818	17346	18823	10490	40128	12735	13488	7016	123606	19268	31863	2126	51835	9091	1125	40207	17882	31759	18549	48835	9812	5543	151343	99016	13950	24780	17087	97241	9183	29972	17281	11489	10096	7490	22212	7974	37459	10017	7335	19520	78245	10157	51446	31386	28681	17337	6931	13906	7	49434	580	24911	7089	24123	5756	18470	1324214	30638	21813	29256	6030	18749	10902	198475	204172	8217	428	66526	52398	14254	10079	73809	30964	66449	18490	17077	20136	7860	54074	11027	88557	8408	82395	10273	50204	11550	873	9804	11124	10242	2695	10794	15524	13411	55439	16810	2892	6999	10381	124414	17325	16027	12960	32041	81197	27924	12227	27743	12446	751	22010	38836	20190	10208	18951	13750	11461	19621	10036	8935	3778	7765	19703	14080	17666	10385	23753	19160	2	79585	14594	8459	59701	14738	3072	5023	11426	7873	40909	27868	16918	114453	11461	26406	19834	33179	24711	37834	32376	6150	10846	3297	2673	21022	15162	13754	16003	14260	4534	14241	6028	9355	15328	10995	16312	3573	16814	22084	1421	6924	8028	21281	24229	10860	6455	965	11954	38455	89822	10702	25973	10621	8987	56783	54520	19929	31200	26	6430	53332	12345	45024	14281	23834	12675	22152	3166	19395	30500	22551	15410	682	16053	21866	26504	429	9284	7483	16742	10536	30284	40203	9527	40933	22625	15991	14020	30713	12158	7025
cmag_007	240	2279	1579	63945	206651	58709	507367	16397	95719	42278	350	259044	152820	186145	3040	13206	8011	228343	4667	2670	18132	8623	298571	30	775153	112923	31	3609	167151	4937	2832	4496	279551	122042	173638	142749	5120	2438	1784	77072	102658	290666	578387	3175	3342	18548	292459	5942	297103	38857	19373	131769	283874	1918	3736	68405	470637	14930	24144	10500	6286	2127	3146	110781	4684	27356	35231	98946	39784	6236	4918	1447	248266	365188	8336	40826	578954	6657	0	147151	2606	7036998	40258	85972	118127	6848	3126	25296	521605	1069	1332400	10736	43733	34585	191385	7335	2566	3670	105614	419813	22057	38057	2329	3344	29656	14087	475793	316870	205968	77249	63064	6076	10792	75289	7669	10931	444327	25062	1007	97047	12463	2263	2450	10147	9495	1040714	23196	8988	33547	85770	312307	20897	492937	157101	16210	3879	2113099	512898	894002	356964	93614	45241	14732	55423	14886	15095	351398	156157	735586	6698	4736	1660	13535	620199	124626	55596	573696	102820	102809	41915	8663	197349	8509	28265	48467	340235	102771	544709	3690	4512	25019	2059	54135	197715	388506	56642	82145	1362596	110929	522	4051	12365	1197	981906	130094	9896	13192	8266	3098	319897	2181294	8969	438730	337873	49235	23464	3070	6269	375320	1316641	184335	171608	26726	90243	10541	74652	18543	11155	2014450	403904	9200	1752454	4717	912326	563764	250300	11	10336	147	4474	4525	7030	176515	12933	2475640	76319	3169	2271	7200	56433	4361	11977	1796737	94925	110	17452	10512	2570	198166	62929	832768	15897	15756	3897	111103	47682	992224	6440	9141	4690	21520	2364	78021	582953	2779	629142	220220	16020	411	3251	3082	6489	15373	19860	1065	63810	3437	28490	3165	73952	239671	257054	322518	8259	3558	2163	88309	380	127533	2836951	218204	312655	2528	2860	2956	943498	45808	548006	15807	37290	4358	3740	21767	4980	101695	97822	78	100766	2805	1863	12416	5178	761	87527	568678	876110	11548	4463	4505	176563	3441	501880	280446	3302	2083	5494	14664	1950	2298856	127102	279	3981	106572	10861	5460	8920	102489	717082	424	1915	1300	3392	100385	2595	2529181	10967	207	174253	45700	108942	27497	19150	137056	167	7282	9599	30051	216824	5443	3340	341378	16849	10348	2698	287470	23	47844	215938	825891	76746	580090	3975	9596	26891	2948	1076449	87987	7307	8953	252	290419	8646	1683457	4917	319805	1318	4020	38742	181218	1614021	62518	1075868	4966	4446	1185531	61103	82910	772577
cmag_008	207	252	185	632	745	2137	1016	129	1373	932	56	3291	377	377	698	799	586	786	595	537	865	667	745	2	3875	697	0	1164	223	1180	356	926	943	2060	1426	2179	678	233	332	1330	439	774	516	517	959	871	410	383	779	1736	875	960	360	915	528	830	4268	1291	231	585	1098	334	799	1766	177	109	765	1507	811	232	1248	713	201	410	669	842	941	509	0	529	675	10915	785	906	1590	384	257	404	628	118	956	1145	1761	1485	1268	536	2698	1761	212	585	393	1789	1751	1856	1696	629	1005	502	995	433	712	2905	1923	855	106	670	281	460	200	492	699	1317	602	460	945	2333	7720	399	1270	303	776	897	253	598	4516	258	735	546	2975	454	698	423	193	732	717	528	734	435	634	2020	242	634	524	615	2533	938	2457	438	2679	889	2176	452	1112	4693	1547	3340	2314	859	1838	1644	915	2645	1992	1048	1277	426	781	1089	422	97	327	482	49	2187	1138	1721	1080	1118	715	534	2635	731	700	1736	405	3509	1006	947	402	585	1014	518	570	465	1108	2236	159	2210	4662	612	3916	1373	1076	1813	707	1212	2	1242	15	357	106	177	1257	1520	1667	952	669	221	266	1096	408	649	5170	1401	65	3723	1446	516	461	12428	3774	942	1115	496	888	1692	14291	1862	10799	493	4900	986	3442	632	38	2481	1410	2560	160	572	2229	1262	5743	1649	1215	1641	3606	10635	1041	2094	1639	2123	380	899	563	1833	1075	22	3282	3165	965	761	777	886	1819	777	267	1321	408	726	2577	1481	1041	1618	3648	1176	0	10194	967	582	1502	1233	199	1192	2513	1642	1198	568	1046	5192	948	1280	2201	519	813	3582	1071	273	804	543	134	829	605	702	855	399	529	2469	104	272	2450	2094	369	1024	4327	1648	42	445	335	607	4219	1632	781	59	1047	2204	8169	862	1538	2447	2234	4259	2948	590	1047	0	159	4080	3409	2989	4970	1961	399	416	258	1800	1928	2504	1710	44	627	923	2692	18	844	218	1849	457	1116	2634	844	3612	1568	1143	600	1028	997	819
cmag_009	8230	72705	17237	20365	12751	33465	27488	3781	27542	54665	12648	372928	12545	24907	5612	12333	20910	34039	9061	27167	52013	21098	37058	28	117296	28565	14	280539	17926	263413	30426	19195	13163	56892	65179	17847	505923	147522	12940	47724	28507	48107	28407	10909	152971	2393271	6592	17787	29254	85091	58284	33424	43163	80873	99128	84300	105244	15704	10223	7687	311256	38576	124255	301323	10768	1396	24243	60916	40603	78783	106045	58563	9241	12545	17650	174740	45412	64254	2	24207	17560	224881	47975	26470	166630	43708	169415	6840	12056	3394	14604	62884	39271	14234	19959	141309	527024	107549	18216	27691	14764	34584	52479	445396	225254	306660	29591	11399	55228	45727	26640	14755	15645	138723	4456	43714	4993	22071	3596	18371	162277	69926	263261	16904	30938	146837	635127	59090	149176	24401	19350	34667	18614	46618	158010	46902	71436	35281	213942	23667	15446	33680	81987	9121	31658	147870	28158	35648	25992	293556	81690	9024	12401	74718	85871	31395	148680	37537	136378	314960	217128	18352	48312	78040	60999	36948	102930	40782	90090	93966	32483	23159	83054	36331	69518	16449	12237	119127	9947	27349	25425	10129	4398	108460	56279	79660	32568	326514	19438	24393	58471	20831	13353	85816	22625	878169	147849	158531	23712	16833	27418	34555	33813	5185	217816	69815	5044	141090	256854	25366	368430	51754	62401	44177	12129	31522	48	374409	7503	16501	2471	59219	27380	133179	81411	60527	453789	26943	22897	36843	9300	26824	50362	9429	4557	175862	115411	17402	25053	79575	111656	18946	196675	111097	61192	40339	141261	22784	688435	32196	71362	73889	272100	37615	1408	34254	15424	16107	628	171468	130749	172197	207010	49654	8575	8243	73377	363853	15799	61099	44439	73328	21487	373803	368205	103468	27935	2080	48070	158081	12499	23749	132314	87674	54023	149717	7988	30117	6146	50048	315458	282114	122913	68257	26555	6610	4	374452	174584	100737	636746	14350	5990	33412	27667	41470	101588	318306	11757	191048	41601	74862	79908	95730	188441	219325	197981	10732	21959	25228	31434	48655	144493	61312	44532	55560	31436	28489	5403	26812	166109	318264	71968	18039	50967	125934	2781	10204	23437	40700	41451	12945	19200	7707	74091	190195	517012	11592	84805	54746	35022	1269669	391290	72386	91909	12	15559	46156	33032	32135	26596	489767	44164	65279	21906	26723	19902	146255	72333	1292	65567	16700	121892	307	15641	193766	316053	18290	25500	180597	26106	94916	60883	65690	97826	40863	38122	30598
cmag_010	48648	75181	32328	32678	11094	1259971	87502	3453	8442	35546	38106	228813	6109	10538	10428	11827	6154	9819	3098	749637	169474	21591	28191	5	17979	8922	4	138361	67986	17964	9358	6825	116857	29802	31934	18793	151869	74152	12353	217981	17328	117412	41121	82149	129313	1103885	18338	8831	16292	92433	22383	6901	4405	57260	221779	242999	411535	17139	32431	6630	74864	242575	435305	293865	17372	5028	20673	257942	10798	68738	331554	62681	34065	24314	81132	65342	3932	82935	6	18678	6177	84675	18733	3003	56623	100504	521942	245362	144125	14884	9225	9093	46317	10344	57551	469554	83396	40761	12621	15482	24912	70242	37452	877135	397675	350175	25701	20793	5260	8363	454128	53208	39406	426692	5240	22986	3035	6166	696	3335	427506	87609	14356	19609	4753	78276	213614	10232	282686	17606	52477	111222	5121	6757	120097	64974	6167	13243	12933	5100	20031	256961	532996	5466	3282	26581	7851	11790	6205	117576	159699	518482	11475	32876	21476	11612	18034	21640	27973	423942	679101	18601	86427	58005	96548	33880	243618	28948	15143	641266	54514	7161	38384	6677	14590	34487	176536	20490	10343	12577	48073	45018	19756	105947	7968	12979	17296	123496	668372	15425	433595	290601	9291	10946	18938	878165	356912	350364	70755	39660	5294	5714	44539	1507	477828	8840	55400	10972	49040	11612	1548374	88815	143715	22626	10107	13535	43	594420	1001	1920478	6049	285719	4966	11121	59713	546637	314910	547516	5904	129825	40159	9717	21039	5029	23738	592891	132656	27830	15402	48180	56139	9896	151688	862894	15728	3165	34633	15443	394162	35801	521954	849536	312517	14629	3222	14934	34183	12724	70483	36016	242972	64900	82738	20020	1933	9658	2951	2645781	17379	6779	22982	33951	3712	39381	92290	409659	9293	69921	7690	20775	11993	9251	94179	130173	48142	44078	203647	13150	10504	4590	284524	70056	7570	5127	56419	35308	0	148756	144039	30719	585285	77676	14193	5295	72558	8282	367616	556656	77261	633774	34662	7034	39475	965335	535610	226264	65662	16775	5649	2856	12990	209076	84791	155889	144158	26079	3098	117539	519693	210171	232910	43928	108161	18205	11946	31551	967	128130	15339	367620	11764	312782	40453	2911	78787	18723	1515748	15230	13030	7363	42385	426815	598783	675602	216493	144	27542	10454	7391	11780	47873	373826	21053	57631	13777	13624	29630	43945	1024162	3178	38784	165174	33206	261	5373	254767	76442	20498	35888	67772	10104	169672	347385	521861	8413	11093	19176	4034
