mag_id	parameter	hmsc_trend
cmag_001	-0.107919076906332	increaser
cmag_002	-0.0357184613923418	decreaser
cmag_003	-0.113651547802322	increaser
cmag_004	-0.0649953678046147	increaser
cmag_005	-0.0764762525476423	increaser
cmag_006	0.00159877669402444	decreaser
cmag_007	-0.0140849527755964	increaser
cmag_008	0.0197620531109987	increaser
cmag_009	-0.044456053285397	decreaser
cmag_010	0.00713673905836551	decreaser
cmag_011	-0.105781167001593	increaser
cmag_012	NA	stable
cmag_013	-0.0382460597321506	increaser
cmag_014	-0.0831399332068274	increaser
cmag_015	9.5791363616623e-4	increaser
cmag_016	-0.12222095758095	increaser
cmag_017	-0.020536152795581	increaser
cmag_018	-0.0530824883764078	increaser
cmag_019	-0.0884594645129458	increaser
cmag_020	-0.0913447494338878	increaser
cmag_021	-0.0115906945143455	increaser
cmag_022	-0.0896583772351329	increaser
cmag_023	-4.5806972707878e-4	decreaser
cmag_024	-8.182274115969e-4	decreaser
cmag_025	0.0534123521099907	decreaser
cmag_026	0.0143219551743797	decreaser
cmag_027	-0.111185293384505	increaser
cmag_028	-0.0162752005690937	increaser
cmag_029	-0.0757539651786688	increaser
cmag_030	-0.0308303708947269	increaser
cmag_031	-0.0396066875284068	increaser
cmag_032	0.0174836996463752	decreaser
cmag_033	-0.095125897713527	increaser
cmag_034	0.00219871101302512	decreaser
cmag_035	0.0356255569399787	decreaser
cmag_036	0.0242232638362957	decreaser
cmag_037	NA	stable
cmag_038	-0.0285530945915514	decreaser
cmag_039	-0.08780565781567	decreaser
cmag_040	-0.0473581532306923	decreaser
cmag_041	-0.0417734687634112	increaser
cmag_042	NA	stable
cmag_043	-0.00218884268181426	increaser
cmag_044	-0.0407685714753434	increaser
cmag_045	-0.0247595223349932	increaser
cmag_046	-0.0777506792337135	increaser
cmag_047	NA	stable
cmag_048	-0.0982988652514858	decreaser
cmag_049	-0.0233140428038282	increaser
cmag_050	0.00334777323745679	decreaser
cmag_051	0.0413199841600495	decreaser
cmag_052	-0.0837123167389462	increaser
cmag_053	-0.122390885601282	increaser
cmag_054	-0.12186980524641	increaser
cmag_055	-0.0570034944925984	increaser
cmag_056	-0.0787902308327376	increaser
cmag_057	-0.0818054457555943	increaser
cmag_058	-0.0221243819025956	increaser
cmag_059	NA	stable
cmag_060	-0.0709808565878537	increaser
cmag_061	-0.0699188370019374	increaser
cmag_062	-0.113305863100556	increaser
cmag_063	NA	stable
cmag_064	0.037186224854516003	decreaser
cmag_065	0.0111911203425547	decreaser
cmag_066	NA	stable
cmag_067	-0.0623477946507275	increaser
cmag_068	-0.0584796530558181	increaser
cmag_069	-0.0996532679646525	increaser
cmag_070	-0.0685273069625191	increaser
cmag_071	-0.030576132706774	decreaser
cmag_072	-0.0948680062129404	increaser
cmag_073	-0.0630921280907043	increaser
cmag_074	-0.0596139476419617	increaser
cmag_075	0.00978492448246021	increaser
cmag_076	-0.0138883292380135	decreaser
cmag_077	-0.0571274534509725	increaser
cmag_078	-0.0168957961953938	decreaser
cmag_079	-0.0147745697890744	decreaser
cmag_080	0.0162843409435081	decreaser
cmag_081	-0.0457226276416638	decreaser
cmag_082	-0.0299999382316762	decreaser
cmag_083	-0.137748577581894	increaser
cmag_084	-0.0352437283787042	increaser
cmag_085	-0.0824440425278684	increaser
cmag_086	-0.033402337132868	decreaser
cmag_087	0.018616276291863	decreaser
cmag_088	0.00578775372989855	increaser
cmag_089	-0.0409397203359446	decreaser
cmag_090	-0.0758129091875299	increaser
cmag_091	-0.0634872130405204	decreaser
cmag_092	-0.0643605458130289	increaser
cmag_093	NA	stable
cmag_094	-0.015781238124854	decreaser
cmag_095	0.0140903135216763	increaser
cmag_096	-0.0961034052547849	decreaser
cmag_097	-0.0424370261556756	decreaser
cmag_098	-0.0419605287564594	decreaser
cmag_099	-0.0967480662552792	increaser
cmag_100	-0.0902799236457468	increaser
cmag_101	0.00220204071543902	decreaser
cmag_102	-0.0586830641898349	decreaser
cmag_103	-0.0334976648513476	increaser
cmag_104	-0.0308577943616163	increaser
cmag_105	-0.0403117805869881	increaser
cmag_106	-0.105817389848623	increaser
cmag_107	-0.0972682274971943	increaser
cmag_108	-0.0644302907805105	increaser
cmag_109	-0.0910763674290501	increaser
cmag_110	-0.025602255826361	increaser
cmag_111	-0.119595143019616	increaser
cmag_112	-0.053689199798854	increaser
cmag_113	-0.0715778888278175	increaser
cmag_114	-0.0180463136706175	increaser
cmag_115	-0.0241452241997059	decreaser
cmag_116	-0.0257704476155808	increaser
cmag_117	-0.0620730578526904	increaser
cmag_118	-0.109786939329332	increaser
cmag_119	-0.102674915132847	increaser
cmag_120	-0.0218762655870831	decreaser
cmag_121	0.00320425634007271	increaser
cmag_122	-0.0470892485995679	decreaser
cmag_123	NA	stable
cmag_124	-0.0599855363842702	increaser
cmag_125	-0.0180829493743473	increaser
cmag_126	-0.0699896199201806	decreaser
cmag_127	0.0513300100677504	decreaser
cmag_128	-0.0326108503444588	decreaser
cmag_129	-0.0196938896093389	decreaser
cmag_130	0.0130918164018161	decreaser
cmag_131	-0.111792094935713	increaser
cmag_132	-0.0648468681835163	increaser
cmag_133	0.00725483919981799	increaser
cmag_134	-0.0215355219413697	increaser
cmag_135	-0.120808490610648	increaser
cmag_136	NA	stable
cmag_137	-0.033323591691118	decreaser
cmag_138	-0.0554695446713708	decreaser
cmag_139	-0.0570228982071282	increaser
cmag_140	-0.0202187682131754	increaser
