mag_id	parameter	trend
cmag_001	0.022373928102811	increaser
cmag_002	NA	stable
cmag_003	0.0482280298381053	increaser
cmag_004	0.0499492534489266	increaser
cmag_005	0.0524154939696042	increaser
cmag_006	-0.0139459928939697	decreaser
cmag_007	0.0394502915559393	increaser
cmag_008	0.0219065137473843	increaser
cmag_009	-0.0414988253847512	decreaser
cmag_010	-0.0402903922636265	decreaser
cmag_011	0.0454085589972428	increaser
cmag_012	NA	stable
cmag_013	0.0284804801848635	increaser
cmag_014	0.0376208721255106	increaser
cmag_015	0.0376036750532343	increaser
cmag_016	0.0434247767947728	increaser
cmag_017	0.027755295941725	increaser
cmag_018	0.0509914410638451	increaser
cmag_019	0.0191198314420506	increaser
cmag_020	0.0244412869232149	increaser
cmag_021	NA	stable
cmag_022	0.0413491877595719	increaser
cmag_023	NA	stable
cmag_024	-0.0211269904270918	decreaser
cmag_025	-0.0426248266945136	decreaser
cmag_026	-0.0483522307714979	decreaser
cmag_027	0.0416048831098547	increaser
cmag_028	0.0314406777816459	increaser
cmag_029	0.0266117193283545	increaser
cmag_030	0.0213399784716272	increaser
cmag_031	-0.0193674445799789	decreaser
cmag_032	NA	stable
cmag_033	0.0354875431108637	increaser
cmag_034	-0.0250374812005013	decreaser
cmag_035	-0.0320325013433362	decreaser
cmag_036	-0.0218167876674455	decreaser
cmag_037	NA	stable
cmag_038	-0.018824255398092	decreaser
cmag_039	NA	stable
cmag_040	-0.0274533443928507	decreaser
cmag_041	0.037665098943674	increaser
cmag_042	NA	stable
cmag_043	NA	stable
cmag_044	0.0274493834026499	increaser
cmag_045	NA	stable
cmag_046	0.0335265824701369	increaser
cmag_047	0.0224052685234436	increaser
cmag_048	-0.0261869742846474	decreaser
cmag_049	NA	stable
cmag_050	-0.0173964138790469	decreaser
cmag_051	NA	stable
cmag_052	0.0376466803854066	increaser
cmag_053	0.0451114008865657	increaser
cmag_054	0.0452979054244926	increaser
cmag_055	0.039529641206721	increaser
cmag_056	0.0320287316004567	increaser
cmag_057	0.0456646446257415	increaser
cmag_058	0.0459032476352111	increaser
cmag_059	-0.0177474191030178	decreaser
